#tweet_id,user_follower_count,user_followee_count,followers_per_followee,user_listed_count,user_status_count,user_bio_exists,word_count,unique_char_count,digits_count,url_count,urls_per_word,hashtag_count,hashtags_per_word,position_of_hashtag,swear_words_count,users_menttioned_count,spam_words_in_bio_count,spam_words_in_tweet_count,expanded_url_length,dot_in_expanded_url,no_of_subdomain,no_of_redirection,age_of_account,class
4.40E+17,527,187,2.818181818,0,8240,1,5,11,0,0,0,0,0,-1,21,0,20,21,0,0,0,0,856,non-spam
4.40E+17,520,886,0.586907449,0,1155,0,8,29,0,0,0,1,0.125,0,58,0,0,59,0,0,0,0,180,non-spam
4.40E+17,178,206,0.86407767,1,2982,1,26,29,0,0,0,0,0,-1,129,1,162,129,0,0,0,0,103,non-spam
4.40E+17,640,547,1.170018282,0,17777,1,9,19,0,0,0,0,0,-1,46,0,89,46,0,0,0,0,821,non-spam
4.40E+17,658,207,3.178743961,4,10369,1,9,19,0,0,0,0,0,-1,37,0,13,37,0,0,0,0,863,non-spam
4.40E+17,1001,2002,0.5,0,6876,1,3,20,0,0,0,1,0.333333333,0,31,0,147,31,0,0,0,0,375,non-spam
4.40E+17,3079,2379,1.294241278,9,26633,1,6,16,1,0,0,0,0,-1,29,0,37,29,0,0,0,0,777,non-spam
4.40E+17,263,397,0.662468514,0,4616,1,8,17,0,0,0,0,0,-1,35,0,57,36,0,0,0,0,350,non-spam
4.40E+17,397,811,0.489519112,0,6551,1,4,15,0,0,0,0,0,-1,29,0,145,29,0,0,0,0,801,non-spam
4.40E+17,12,0,0,0,6197,1,4,18,0,0,0,1,0.25,0,31,0,40,31,0,0,0,0,20,non-spam
4.40E+17,0,0,0,0,4,0,15,20,0,0,0,0,0,-1,74,0,0,74,0,0,0,0,0,spam
4.40E+17,104,55,1.890909091,0,511,1,19,25,0,0,0,0,0,-1,85,1,84,86,0,0,0,0,34,non-spam
4.40E+17,76,204,0.37254902,0,568,1,4,13,0,0,0,0,0,-1,23,0,63,23,0,0,0,0,402,non-spam
4.40E+17,323,370,0.872972973,0,996,1,4,13,0,0,0,0,0,-1,24,1,121,24,0,0,0,0,26,non-spam
4.40E+17,0,16,0,0,11,0,4,18,0,0,0,0,0,-1,40,2,0,40,0,0,0,0,148,non-spam
4.40E+17,555,760,0.730263158,4,10624,1,4,20,6,0,0,0,0,-1,27,1,128,27,0,0,0,0,190,non-spam
4.40E+17,1,119,0.008403361,0,1257,1,12,47,6,0,0,3,0.25,68,131,3,6,131,0,0,0,0,89,spam
4.40E+17,189,196,0.964285714,1,2636,1,6,12,0,0,0,0,0,-1,28,0,77,28,0,0,0,0,1577,non-spam
4.40E+17,104,199,0.522613065,0,194,1,3,15,0,0,0,0,0,-1,20,0,110,20,0,0,0,0,427,non-spam
4.40E+17,9,1011,0.008902077,0,197,1,3,11,1,0,0,2,0.666666667,3,22,0,34,22,0,0,0,0,59,spam
4.40E+17,1,22,0.045454545,0,17,1,10,25,0,0,0,1,0.1,66,91,1,67,91,0,0,0,0,612,non-spam
4.40E+17,8331,32,260.34375,314,4986,1,24,37,2,0,0,0,0,-1,139,0,63,139,0,0,0,0,1491,non-spam
4.40E+17,416,370,1.124324324,0,65439,1,16,19,0,0,0,0,0,-1,78,0,68,78,0,0,0,0,699,non-spam
4.40E+17,847,983,0.861648016,9,8625,1,14,25,0,0,0,2,0.142857143,61,84,0,105,84,0,0,0,0,1794,non-spam
